employment_cap,objective,annual_gdp,employment,construction_cost,gdp_per_capita,gdp_per_construction,era_cap,arable_land_consumption,level_building_coal_mine,level_building_iron_mine,level_building_lead_mine,level_building_sulfur_mine,level_building_gold_mine,level_building_logging_camp,level_building_rubber_plantation,level_building_fishing_wharf,level_building_whaling_station,level_building_oil_rig,error
1000000,gdp,42627253.70584604,1000000.0,171244.72686061717,42.627253705846044,248.92593475618108,5,0.0,18.095199418076064,12.234139287787299,0.0,149.0,0.0,16.399011477671017,0.0,0.0,24.0,12.0,
2000000,gdp,73727575.50854677,2000000.0000000005,419855.5969275742,36.863787754273375,175.6022214496402,5,0.0,61.075256435155104,36.73750386261394,0.0,149.0,0.0,42.07748702332445,0.0,0.0,24.0,12.0,
3000000,gdp,103886016.4277282,3000000.0,884416.8166578902,34.62867214257607,117.4627330361057,5,0.0,93.52894744097816,62.666544043635206,0.0,149.0,0.0,37.405381890751286,0.0,0.0,24.0,12.0,
4000000,gdp,134043717.29960527,3999999.9999999995,1349071.6988346586,33.51092932490132,99.35996538611961,5,0.0,125.92739651736686,88.2644311679757,0.0,149.0,0.0,33.623384737543404,0.0,0.0,24.0,12.0,
5000000,gdp,162163778.87862656,5000000.0,1792233.7887450173,32.43275577572531,90.48137575409686,5,0.0,129.0,76.46558024993038,0.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
6000000,gdp,188390986.33717218,5999999.999999998,1797922.50698135,31.39849772286204,104.78259524848718,5,166.84909586935328,129.0,76.60407448256255,0.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
7000000,gdp,214542647.44149637,6999999.999999996,1695363.6434472296,30.6489496344995,126.54668411153426,5,396.673049370223,129.0,70.89595548886022,0.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
8000000,gdp,240694308.5458208,8000000.0,1592804.7799131097,30.0867885682276,151.11350215746532,5,626.4970028710941,129.0,65.18783649515788,0.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
9000000,gdp,266511542.35314032,9000000.0,1496809.9584720056,29.61239359479337,178.05302593336856,5,845.0,129.0,65.27726809147877,0.0,149.0,11.0,102.65940629153347,0.0,0.0,24.0,12.0,
10000000,gdp,288788336.9407654,10000000.000000002,1675959.119885513,28.878833694076533,172.3122798845433,5,845.0,129.0,75.78597569888235,0.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
11000000,gdp,309975245.2709756,11000000.0,1722226.197398292,28.179567751906873,179.98521085049373,5,845.0,129.0,90.55154825838683,0.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
12000000,gdp,330844264.87055904,12000000.0,1886228.326687909,27.57035540587992,175.39990264672755,5,845.0,129.0,104.0,34.36950899709676,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
13000000,gdp,349039786.0079791,13000000.000000002,2184285.623253294,26.84921430830608,159.79585375291543,5,845.0,129.0,104.0,39.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
