pop_need_type,goods,weight,max_supply_share,min_supply_share,is_default
popneed_simple_clothing,fabric,1.0,0.5,0.0,True
popneed_simple_clothing,clothes,2.0,1.0,0.0,False
popneed_crude_items,wood,1.0,0.5,0.0,True
popneed_crude_items,furniture,2.0,1.0,0.0,False
popneed_basic_food,grain,0.85,0.9,0.0,True
popneed_basic_food,fish,1.0,0.9,0.0,False
popneed_basic_food,meat,1.0,0.9,0.0,False
popneed_basic_food,fruit,1.0,0.9,0.0,False
popneed_basic_food,groceries,1.15,0.9,0.0,False
popneed_heating,wood,0.75,0.5,0.0,True
popneed_heating,fabric,0.25,0.25,0.0,False
popneed_heating,coal,2.0,0.8,0.0,False
popneed_heating,oil,3.0,1.0,0.0,False
popneed_heating,electricity,3.0,1.0,0.0,False
popneed_household_items,furniture,1.0,0.75,0.1,True
popneed_household_items,glass,1.0,0.5,0.0,False
popneed_household_items,paper,0.5,0.5,0.0,False
popneed_standard_clothing,clothes,1.0,1.0,0.0,True
popneed_services,services,1.0,1.0,0.0,True
popneed_intoxicants,liquor,1.0,0.75,0.0,True
popneed_intoxicants,tobacco,0.9,0.75,0.0,False
popneed_intoxicants,opium,0.75,0.75,0.0,False
popneed_intoxicants,wine,0.25,0.25,0.0,False
popneed_luxury_drinks,tea,1.0,0.75,0.0,True
popneed_luxury_drinks,coffee,1.0,0.75,0.0,False
popneed_luxury_drinks,wine,0.45,0.33,0.0,False
popneed_free_movement,transportation,1.0,0.75,0.0,True
popneed_free_movement,automobiles,1.25,1.0,0.0,False
popneed_communication,transportation,1.0,0.75,0.0,True
popneed_communication,telephones,2.0,1.0,0.0,False
popneed_luxury_food,meat,1.25,0.75,0.1,True
popneed_luxury_food,fruit,0.75,0.75,0.1,False
popneed_luxury_food,groceries,1.5,1.0,0.0,False
popneed_luxury_food,sugar,0.5,0.5,0.0,False
popneed_luxury_items,silk,0.5,0.25,0.1,True
popneed_luxury_items,luxury_clothes,1.0,0.5,0.1,False
popneed_luxury_items,luxury_furniture,1.0,0.5,0.1,False
popneed_luxury_items,porcelain,1.0,0.5,0.1,False
popneed_luxury_items,radios,1.0,0.5,0.0,False
popneed_leisure,services,0.1,1.0,0.0,True
popneed_leisure,fine_art,4.0,1.0,0.0,False
popneed_leisure,small_arms,0.75,0.25,0.0,False
popneed_leisure,aeroplanes,1.0,0.2,0.0,False
popneed_leisure,automobiles,1.0,0.25,0.0,False
popneed_leisure,radios,1.0,0.2,0.0,False
popneed_leisure,opium,0.5,0.5,0.0,False
popneed_leisure,clippers,1.0,0.25,0.0,False
popneed_leisure,steamers,0.75,0.25,0.0,False
popneed_stimulants,sugar,1.0,0.75,0.0,True
popneed_stimulants,tea,0.95,0.75,0.0,False
popneed_stimulants,coffee,0.95,0.75,0.0,False
popneed_stimulants,tobacco,0.8,0.75,0.0,False
