key,construction_cost,profit,employment,ammunition,small_arms,artillery,tanks,aeroplanes,manowars,ironclads,grain,fish,fabric,wood,groceries,clothes,furniture,paper,services,transportation,electricity,merchant_marine,clippers,steamers,silk,dye,sulfur,coal,iron,lead,hardwood,rubber,oil,engines,steel,glass,fertilizer,tools,explosives,porcelain,meat,fruit,liquor,wine,tea,coffee,sugar,tobacco,opium,automobiles,telephones,radios,luxury_clothes,luxury_furniture,gold,fine_art
building_food_industry(pm_bakery+pm_disabled_canning+pm_disabled_distillery+pm_manual_dough_processing),600,550.0,5000,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,45,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_disabled_canning+pm_disabled_distillery+pm_automated_bakery),600,150.0,2500,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,45,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_disabled_canning+pm_pot_stills+pm_manual_dough_processing),600,700.0,5350,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,15,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_disabled_canning+pm_pot_stills+pm_automated_bakery),600,300.0,2850,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,15,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-10,0,0,0.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_disabled_canning+pm_patent_stills+pm_manual_dough_processing),600,1200.0,5900,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-10,0.0,0,0,0,0.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_disabled_canning+pm_patent_stills+pm_automated_bakery),600,800.0,3400,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-10,0.0,-10,0,0,0.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery+pm_disabled_distillery+pm_manual_dough_processing),600,850.0,5500,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery+pm_disabled_distillery+pm_automated_bakery),600,450.0,3000,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,75,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery+pm_pot_stills+pm_manual_dough_processing),600,1000.0,5850,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,45,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,-20.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
building_food_industry(pm_bakery+pm_cannery+pm_pot_stills+pm_automated_bakery),600,600.0,3350,0,0,0,0,0,0,0,-20.0,0.0,0.0,0.0,45,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,-10,0,0,-20.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0
