building,production_method_group,production_method,texture,employment,employment_clergymen,employment_shopkeepers,employment_officers,employment_capitalists,employment_soldiers,employment_aristocrats,employment_peasants,employment_machinists,employment_bureaucrats,employment_laborers,employment_engineers,employment_farmers,employment_clerks,employment_academics,goods_ammunition,goods_small_arms,goods_artillery,goods_tanks,goods_aeroplanes,goods_manowars,goods_ironclads,goods_grain,goods_fish,goods_fabric,goods_wood,goods_groceries,goods_clothes,goods_furniture,goods_paper,goods_services,goods_transportation,goods_electricity,goods_merchant_marine,goods_clippers,goods_steamers,goods_silk,goods_dye,goods_sulfur,goods_coal,goods_iron,goods_lead,goods_hardwood,goods_rubber,goods_oil,goods_engines,goods_steel,goods_glass,goods_fertilizer,goods_tools,goods_explosives,goods_porcelain,goods_meat,goods_fruit,goods_liquor,goods_wine,goods_tea,goods_coffee,goods_sugar,goods_tobacco,goods_opium,goods_automobiles,goods_telephones,goods_radios,goods_luxury_clothes,goods_luxury_furniture,goods_gold,goods_fine_art,unlocking_technologies,replacement_if_valid,is_hidden_when_unavailable,unlocking_principles,disallowing_laws,required_input_goods,unlocking_production_methods,unlocking_geographic_regions,is_default,unlocking_laws,city_lights_color_index,ai_value,unlocking_religions,disallowing_religions,unlocking_identity,low_pop_method,unlocking_company_categories
building_food_industry,pmg_base_building_food_industry,pm_bakery,gfx/interface/icons/production_method_icons/bakeries.dds,5000,0,500,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,45,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
building_food_industry,pmg_base_building_food_industry,pm_sweeteners,gfx/interface/icons/production_method_icons/sweeteners.dds,5000,0,500,0,0,0,0,0,500,0,4000,0,0,0,0,0,0,0,0,0,0,0,-40.0,0.0,0.0,0.0,65,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,-15,0,0,0,0,0,0,0,0,0,distillation,,,,,,,,,,,,,,,,
building_food_industry,pmg_base_building_food_industry,pm_baking_powder,gfx/interface/icons/production_method_icons/baking_powder.dds,5000,0,500,0,0,0,0,0,750,0,3500,250,0,0,0,0,0,0,0,0,0,0,-80.0,0.0,0.0,0.0,120,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,-30,0,0,0,0,0,0,0,0,0,baking_powder,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_disabled_canning,gfx/interface/icons/production_method_icons/no_canning.dds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_cannery,gfx/interface/icons/production_method_icons/canneries.dds,500,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,0.0,0.0,30,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneries,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_cannery_fish,gfx/interface/icons/production_method_icons/canneries.dds,500,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,-30.0,0.0,0.0,30,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,canneries,,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_vacuum_canning,gfx/interface/icons/production_method_icons/vaccum_canning.dds,700,0,0,0,0,0,0,0,500,0,0,200,0,0,0,0,0,0,0,0,0,0,30.0,-30.0,0.0,0.0,60,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,vacuum_canning,pm_vacuum_canning_principle_3,,,,,,,,,,,,,,,
building_food_industry,pmg_canning,pm_vacuum_canning_principle_3,gfx/interface/icons/production_method_icons/vaccum_canning.dds,700,0,0,0,0,0,0,0,500,0,0,200,0,0,0,0,0,0,0,0,0,0,30.0,-30.0,0.0,0.0,70,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-5,0.0,0,0,0.0,0,0,0,-20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,vacuum_canning,,True,principle_food_standardization_3,,,,,,,,,,,,,
building_food_industry,pmg_distillery,pm_disabled_distillery,gfx/interface/icons/production_method_icons/no_distillery.dds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
building_food_industry,pmg_distillery,pm_pot_stills,gfx/interface/icons/production_method_icons/pot_stills.dds,350,0,100,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-30,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,60.0,0,0,0,-25,0,0,0,0,0,0,0,0,0,distillation,,,,,,,,,,,,,,,,
building_food_industry,pmg_distillery,pm_patent_stills,gfx/interface/icons/production_method_icons/patent_stills.dds,900,0,200,0,0,0,0,0,500,0,0,200,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-40,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-10,0.0,0,0,0,0.0,0.0,100.0,0,0,0,-25,0,0,0,0,0,0,0,0,0,fractional_distillation,,,,,,,,,,,,,,,,
