key,province_count,id,subsistence_building,city,port,farm,mine,wood,arable_land,resource_building_iron_mine,resource_building_lead_mine,resource_building_logging_camp,resource_building_fishing_wharf,naval_exit_id,resource_building_coal_mine,resource_building_sulfur_mine,resource_building_whaling_station,resource_building_oil_rig,undiscovered_amount_resource_building_oil_rig,discovered_amount_resource_building_oil_rig,resource_building_gold_mine,resource_building_rubber_plantation,undiscovered_amount_resource_building_rubber_plantation,discovered_amount_resource_building_rubber_plantation,resource_building_gold_field,undiscovered_amount_resource_building_gold_field,discovered_amount_resource_building_gold_field,center_province,diorama_radius_multiplier,diorama_center_offset
STATE_SVEALAND,58,1,building_subsistence_pasture,x9686A5,x93C3BC,xF48646,x6F40EC,x4C9918,30.0,60,18,45,11,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_GOTALAND,27,2,building_subsistence_farm,x90B30A,x41C0E0,x0212F4,xA67CC8,xEA7E80,35.0,15,0,25,15,3019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_SCANIA,10,3,building_subsistence_farm,x2F5177,xC04161,xD4DC3C,xFBA406,xD19738,20.0,0,0,10,10,3019.0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_NORRLAND,186,4,building_subsistence_farm,xE08001,xD2B7E0,x3755D9,xD5FBFC,x420C00,22.0,100,0,60,12,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_GOTLAND,2,5,building_subsistence_farm,xF93B61,x21C0E0,xF93B61,xF93B61,xF93B61,3.0,0,0,2,3,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_JUTLAND,12,6,building_subsistence_farm,x951AF2,x8041E0,xB0B469,x770871,xEBF079,35.0,0,0,6,10,3019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ZEALAND,5,7,building_subsistence_farm,x7F0BF0,xED2792,x0CAEA7,x9000E0,xC16C09,25.0,0,0,4,12,3019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_WESTERN_NORWAY,51,8,building_subsistence_farm,x130906,x68D9BA,x0E3D86,x608020,x608020,20.0,0,0,22,15,3027.0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_NORTHERN_NORWAY,133,9,building_subsistence_pasture,xD31959,xE5B868,x38427D,xB50EB0,x042C26,20.0,18,0,24,10,3020.0,0,20,10,0,0,0,0,0,0,0,0,0,0,,,
STATE_EASTERN_NORWAY,40,10,building_subsistence_farm,xC041E0,xC041E0,x95A154,x49B529,x1255CC,20.0,18,0,22,5,3019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ICELAND,70,11,building_subsistence_fishing_village,xB5D7AC,x0578F9,x27F04F,x45F99B,x09AC69,5.0,0,0,0,3,3070.0,0,20,5,0,0,0,0,0,0,0,0,0,0,,,
STATE_GREENLAND,349,12,building_subsistence_fishing_village,x31F2A9,x5B326C,xB460E8,xE3E358,xC13204,3.0,0,0,0,3,3023.0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,
STATE_HOME_COUNTIES,9,15,building_subsistence_farm,x7543C8,xE060C0,x625993,x60E0C0,x58D3AE,40.0,0,0,6,10,3028.0,40,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_LANCASHIRE,8,16,building_subsistence_farm,xE0E000,x60E000,xA242B2,xE0E000,x410CE6,45.0,60,45,9,15,3030.0,100,0,0,20,20,0,0,0,0,0,0,0,0,,,
STATE_WALES,9,17,building_subsistence_farm,x2020C0,xA2308A,xB7FC74,x20A040,xA02040,40.0,0,0,14,4,3077.0,80,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_YORKSHIRE,9,18,building_subsistence_farm,xB5BF4E,x606000,x527116,x606080,xE06080,50.0,75,27,6,7,3027.0,100,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_HIGHLANDS,19,19,building_subsistence_farm,xCCBBD1,x37518E,xB7B8EA,xFACCE3,xCCBBD1,30.0,0,0,14,14,3027.0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,
STATE_MIDLANDS,11,20,building_subsistence_farm,x6020C0,x2482B4,xA0A0C0,xE0E080,x528DEE,80.0,60,0,6,2,3105.0,80,40,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_EAST_ANGLIA,9,21,building_subsistence_farm,x8C667B,xE02040,x60A040,x8C667B,x516676,40.0,30,0,4,12,3105.0,40,0,0,20,20,0,0,0,0,0,0,0,0,,,
STATE_WEST_COUNTRY,11,22,building_subsistence_farm,xE0E040,x63EF7E,xE0E040,xE020C0,xA2DD9E,60.0,0,60,6,9,3028.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_LOWLANDS,16,23,building_subsistence_farm,xA0E080,xA0E000,xA06080,xDCD566,x9B6ACC,60.0,15,0,14,12,3027.0,60,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_ULSTER,8,24,building_subsistence_farm,x688E79,x2BE1C8,x20E040,xA06040,xCFCD2B,130.0,0,0,6,11,3030.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_MUNSTER,10,25,building_subsistence_farm,xF53F9B,x02061B,xEF3F71,xA0E0C0,x02061B,130.0,0,24,4,12,3077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
STATE_LEINSTER,9,26,building_subsistence_farm,xA0E040,x60E040,x2060C0,x5086D4,xAEAF93,95.0,33,27,6,6,3030.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
