good,variant,ban_config,status,error_type,error_message,scenario,terminal_good,objective,solver_status,solver_message,objective_value,target_quantity,target_base_value,terminal_base_price,terminal_gross_output,terminal_net_output,terminal_surplus,system_gdp_weekly,system_gdp_annual,chain_gdp_weekly,chain_gdp_annual,system_employment,chain_employment,system_construction_cost,chain_construction_cost,system_arable_land,chain_arable_land,system_net_infrastructure_usage,chain_net_infrastructure_usage,employment_per_terminal_unit,construction_per_terminal_unit,gdp_per_terminal_unit,output_per_10k_workers,realized_process_count,realized_good_count,realized_edge_count,allowed_process_count,allowed_good_count,allowed_edge_count,cyclic_component_count,cyclic_node_count,condensation_depth,extractive_process_count,resource_process_count,chain_gdp_share,chain_employment_share,chain_construction_share,chain_arable_land_share,chain_infrastructure_share
ammunition,base,cangshulun_video,success,,,base:ammunition,ammunition,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),75961.93529958226,2000.0,100000.0,50.0,1999.9999999999998,1999.9999999999998,-2.2737367544323206e-13,99999.99999999991,5199999.999999995,99999.99999999991,5199999.999999995,75961.93529958227,75961.93529958226,16657.968162401787,16657.968162401787,0.0,0.0,-4.22823812181263,-4.22823812181263,37.98096764979113,8.328984081200895,49.999999999999964,263.2897637629038,17,17,83,894,33,4090,1,30,4,7,2,1.0,0.9999999999999998,1.0,0.0,1.0
small_arms,base,cangshulun_video,success,,,base:small_arms,small_arms,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56632.39682285028,1666.6666666666667,100000.0,60.0,1666.6666666666667,1666.6666666666667,0.0,100000.00000000004,5200000.000000002,100000.00000000004,5200000.000000002,56632.39682285028,56632.39682285028,11336.03208530034,11336.032085300338,0.0,0.0,-17.694482670865142,-17.69448267086515,33.979438093710165,6.8016192511802025,60.00000000000002,294.29562585530425,16,16,82,900,33,4125,1,29,3,6,1,1.0,1.0,0.9999999999999999,0.0,1.0000000000000004
artillery,base,cangshulun_video,success,,,base:artillery,artillery,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56478.50238561768,1428.5714285714287,100000.0,70.0,1428.5714285714287,1428.5714285714287,0.0,100000.00000000001,5200000.000000001,100000.00000000003,5200000.000000002,56478.502385617685,56478.50238561768,11351.621158047685,11351.621158047685,0.0,0.0,-7.617627526405862,-7.617627526405855,39.53495166993237,7.946134810633379,70.00000000000001,252.94074173879233,16,16,76,900,33,4119,1,30,2,6,2,1.0000000000000002,0.9999999999999999,1.0,0.0,0.9999999999999991
tanks,base,cangshulun_video,success,,,base:tanks,tanks,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),174531.59496862692,1250.0,100000.0,80.0,1250.0,1250.0,0.0,162499.99999999988,8449999.999999994,162499.99999999988,8449999.999999994,174531.59496862692,174531.5949686269,33661.56421552193,33661.56421552194,0.0,0.0,11.077186767835599,11.077186767835583,139.6252759749015,26.92925137241755,129.99999999999991,71.62027025678044,16,17,79,890,32,4084,1,30,2,6,2,1.0,0.9999999999999998,1.0000000000000002,0.0,0.9999999999999986
aeroplanes,base,cangshulun_video,success,,,base:aeroplanes,aeroplanes,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377056.52006608463,1250.0,100000.0,80.0,1250.0,1250.0,0.0,349999.99999999977,18199999.99999999,349999.99999999977,18199999.99999999,377056.5200660847,377056.52006608463,68621.79308945508,68621.79308945507,2.5510204081632653,2.5510204081632653,-11.365377464715714,-11.365377464715692,301.6452160528677,54.897434471564054,279.99999999999983,33.151528576695064,18,19,89,890,32,4084,1,28,4,7,2,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999981
grain,base,cangshulun_video,success,,,base:grain,grain,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),117880.72104335079,5000.0,100000.0,20.0,5000.0,5000.0,0.0,100000.0,5200000.0,100000.0,5200000.0,117880.72104335077,117880.72104335079,12301.123179791117,12301.123179791119,34.01360544217687,34.01360544217687,-13.554505485921986,-13.554505485921979,23.576144208670158,2.4602246359582236,20.0,424.1575684085987,16,16,75,888,32,4066,1,30,2,6,2,1.0,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999994
fish,base,cangshulun_video,success,,,base:fish,fish,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),95287.85087626515,5000.0,100000.0,20.0,5000.0,5000.0,0.0,99999.99999999999,5199999.999999999,99999.99999999999,5199999.999999999,95287.85087626518,95287.85087626516,14597.381869496963,14597.381869496963,0.0,0.0,-144.19122308878562,-144.19122308878562,19.057570175253034,2.9194763738993927,19.999999999999996,524.7258652619511,17,17,80,888,32,4066,1,30,4,7,2,1.0,0.9999999999999999,1.0,0.0,1.0
fabric,base,cangshulun_video,success,,,base:fabric,fabric,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),169133.60345484994,5000.0,100000.0,20.0,5000.0,5000.0,0.0,99999.99999999997,5199999.999999998,99999.99999999996,5199999.999999998,169133.60345484997,169133.60345484994,9971.78477224786,9971.78477224786,25.510204081632654,25.510204081632654,-121.41753064389222,-121.41753064389225,33.82672069096999,1.994356954449572,19.999999999999993,295.6242815068234,16,16,74,888,32,4066,1,30,2,6,2,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
wood,base,cangshulun_video,success,,,base:wood,wood,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),87223.2911008446,5000.0,100000.0,20.0,5002.634964023556,5000.0,0.0,100000.00000000001,5200000.000000001,100000.00000000001,5200000.000000001,87223.2911008446,87223.29110084461,12441.766961315796,12441.766961315796,0.0,0.0,-166.41743084232053,-166.41743084232053,17.44465822016892,2.4883533922631593,20.000000000000004,573.2413827654324,15,15,71,888,32,4066,1,30,0,6,2,1.0,1.0000000000000002,1.0,0.0,1.0
groceries,base,cangshulun_video,success,,,base:groceries,groceries,automation,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),97167.00861148963,3333.3333333333335,100000.0,30.0,3333.3333333333335,3333.3333333333335,0.0,101002.50626566415,5252130.325814536,101002.50626566417,5252130.325814537,97167.00861148964,97167.00861148963,12640.644861010172,12640.644861010172,12.96143884758278,12.96143884758278,-27.95225680738116,-27.952256807381154,29.150102583446888,3.7921934583030517,30.30075187969925,343.0519659878857,21,22,104,994,33,4725,1,30,6,7,2,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999998
