goods,objective,ban_config,production,base_price,annual_gdp,employment,construction_cost,gdp_per_capita,gdp_per_construction,n_active_buildings,chain_depth,n_raw_inputs,bottleneck_good,bottleneck_cost_share,bottleneck_marginal,error
oil,automation,,2.5,40.0,5199.999999999998,104.6674800912862,19.326115231504723,49.68114256180426,269.0659730478658,15,12,6,engines,0.3592361328303721,-82.11714432080585,
sulfur,automation,,2.0,50.0,5200.0,109.40772159856964,17.971033714015057,47.52863805243508,289.35452922469784,15,13,7,tools,0.20315520412627974,-53.820398705478,
oil,automation,cangshulun,2.5,40.0,5200.0,117.1671692650483,21.437214625079775,44.38103295161875,242.5688267316421,15,14,8,engines,0.30558753850137194,-120.01292146824561,
sulfur,automation,cangshulun,2.0,50.0,5200.0,117.89628364604428,18.669669548428256,44.106564169671124,278.52662236529903,15,13,8,tools,0.2071329277753137,-67.02848580308209,
electricity,automation,,3.3333333333333335,30.0,5200.000000000002,119.49359350503835,32.184835792592224,43.51697733302119,161.56677118100606,15,13,7,oil,0.43849694067842515,-41.86699203651449,
transportation,automation,,3.3333333333333335,30.0,5199.999999999999,121.84258681446337,64.62323418434099,42.67801707065145,80.46641530144933,15,12,6,oil,0.3543486300557019,-41.866992036514475,
automobiles,automation,,1.0,100.0,5200.0,125.16068061797054,25.217684345696583,41.5465941406313,206.2045003306334,16,14,7,oil,0.2754472368636906,-41.86699203651448,
small_arms,automation,,1.6666666666666667,60.0,5200.0,127.3358000917872,25.7628664291839,40.83690522423148,201.8408943078436,17,15,8,steel,0.21586587911257066,-81.62624790997553,
artillery,automation,,1.4285714285714286,70.0,5199.999999999995,128.9748016390503,26.822811344213044,40.31795307235865,193.86483889660892,16,14,7,steel,0.29229881761730253,-82.06060745406913,
merchant_marine,automation,,2.0,50.0,5200.0,133.57146139257415,38.320382588938365,38.930471717434486,135.6980188788888,17,15,7,oil,0.3458987140511771,-41.86699203651448,
tools,automation,,2.5,40.0,5199.999999999997,134.55099676369497,29.005197778327414,38.647056692805414,179.27821212394628,15,12,7,steel,0.30626852240888564,-82.06060745406927,
gold,automation,,1.0,100.0,5199.999999999999,136.75965199821206,22.46379214251882,38.02291044194805,231.48362337975826,16,13,6,tools,0.20315520412627977,-53.820398705478,
engines,automation,,1.6666666666666667,60.0,5199.999999999997,136.86190720134303,29.86248445119434,37.99450194969203,174.13152641397272,15,12,5,steel,0.2730666960582098,-82.06060745406913,
automobiles,automation,cangshulun,1.0,100.0,5200.0,138.21786089762188,27.7136574182012,37.62176585739267,187.63311971175813,16,14,7,engines,0.214001929157836,-120.01292146824561,
glass,automation,,2.5,40.0,5199.999999999999,141.05029784020644,28.795438011151504,36.86628160041884,180.5841605182812,17,14,6,oil,0.29868342712429696,-41.86699203651448,
gold,automation,cangshulun,1.0,100.0,5200.0,147.37035455755534,23.33708693553532,35.285251335736895,222.82129789223922,16,15,8,tools,0.2071329277753137,-67.02848580308209,
explosives,automation,,2.0,50.0,5200.0000000000055,150.04602237301708,28.006277146863603,34.65603364728132,185.6726609085331,15,13,5,sulfur,0.28091187663493833,-54.703860799284826,
iron,automation,,2.5,40.0,5200.000000000002,151.9551688869023,24.959769047243135,34.22061939775326,208.3352610417825,15,13,7,tools,0.20315520412627977,-53.820398705478,
lead,automation,,2.5,40.0,5200.0,151.9551688869023,24.959769047243135,34.220619397753254,208.33526104178245,16,13,6,tools,0.20315520412627977,-53.820398705478,
merchant_marine,construction_cost,,2.0,50.0,5200.000000000001,153.2636637512195,36.14073714236044,33.928459445160726,143.88195734682725,16,12,5,oil,0.3628518766892924,-5.450810697596496,
electricity,construction_cost,,3.3333333333333335,30.0,5200.000000000003,153.517655696409,28.389639049981753,33.8723254756009,183.16541435574698,14,10,5,oil,0.4731062711544419,-5.450810697596496,
oil,construction_cost,,2.5,40.0,5200.000000000001,153.6884747342763,13.627026743991237,33.83467764248866,381.59461324113954,14,9,4,engines,0.4862126625364876,-14.508106975964957,
sulfur,construction_cost,,2.0,50.0,5200.0,155.20067941026718,13.851002967183753,33.505007966195784,375.42407667661394,14,10,5,tools,0.26257419858212006,-9.48171540363651,
automobiles,construction_cost,,1.0,100.0,5200.000000000002,155.47284082673406,20.830369795880983,33.44635611177335,249.635510600885,15,10,4,engines,0.32019328747738696,-14.508106975964957,
coal,automation,,3.3333333333333335,30.0,5199.999999999999,157.19500229679545,25.820450738527377,33.07993208449481,201.3907523403897,15,13,7,tools,0.21033953338782171,-53.820398705478,
sulfur,construction_cost,cangshulun,2.0,50.0,5200.0,159.56554559415497,14.29705434868937,32.58848882844594,363.71128437912745,14,12,7,tools,0.2714990686118319,-9.706782971026497,
transportation,automation,cangshulun,3.3333333333333335,30.0,5200.000000000003,162.1858519731589,65.96623584510833,32.06198282240168,78.82820557186005,15,14,8,steel,0.20774445529076688,-90.3965692766689,
oil,construction_cost,cangshulun,2.5,40.0,5200.0,162.8723024096329,15.49148778848937,31.926852651236615,335.66821153638665,14,12,7,engines,0.45221091626628096,-21.965951153957484,
lead,automation,cangshulun,2.5,40.0,5200.0,163.7448383972837,25.930096595039245,31.75672620216321,200.5391681030153,16,15,8,tools,0.20713292777531372,-67.02848580308209,
iron,automation,cangshulun,2.5,40.0,5199.999999999999,163.7448383972837,25.930096595039238,31.756726202163208,200.53916810301533,15,14,7,tools,0.20713292777531375,-67.02848580308209,
steel,automation,,2.0,50.0,5200.000000000002,164.12121490813837,32.745467845893856,31.68389901884736,158.8006017954042,15,12,7,iron,0.3440273457487201,-60.78206755476092,
fertilizer,automation,,3.3333333333333335,30.0,5200.0,164.14927165574184,26.89244707832094,31.678483538480613,193.36284217109883,15,13,7,sulfur,0.30801946699953964,-54.703860799284826,
steamers,automation,,1.4285714285714286,70.0,5199.999999999998,167.11485729241923,27.857507973730424,31.116323732371605,186.66422010553092,16,14,7,steel,0.2633668607593459,-82.06060745406913,
tools,automation,cangshulun,2.5,40.0,5200.0,167.5712145077052,29.919554972310138,31.031582693225005,173.7993765218928,15,13,7,steel,0.3078502554111635,-90.3965692766689,
